título,dificuldade,area,matriculados,plataforma,tipo
Ultimate Investment Banking Course,All Levels,Business Finance,2147,Udemy,
Complete GST Course & Certification - Grow Your CA Practice,All Levels,Business Finance,2792,Udemy,
Financial Modeling for Business Analysts and Consultants,Intermediate Level,Business Finance,2174,Udemy,
Beginner to Pro - Financial Analysis in Excel 2017,All Levels,Business Finance,2451,Udemy,
How To Maximize Your Profits Trading Options,Intermediate Level,Business Finance,1276,Udemy,
Trading Penny Stocks: A Guide for All Levels In 2017,All Levels,Business Finance,9221,Udemy,
Investing And Trading For Beginners: Mastering Price Charts,Beginner Level,Business Finance,1540,Udemy,
"Trading Stock Chart Patterns For Immediate, Explosive Gains",All Levels,Business Finance,2917,Udemy,
Options Trading 3 : Advanced Stock Profit and Success Method,Expert Level,Business Finance,5172,Udemy,
The Only Investment Strategy You Need For Your Retirement,All Levels,Business Finance,827,Udemy,
Forex Trading Secrets of the Pros With Amazon's AWS,All Levels,Business Finance,4284,Udemy,
Trading Options With Money Flow,All Levels,Business Finance,1380,Udemy,
Financial Management Risk and Return For Securities,All Levels,Business Finance,3607,Udemy,
Forex Trading Course: Work Smarter Not Harder Proven Results,All Levels,Business Finance,4061,Udemy,
Python Algo Trading: Sentiment Trading with News,All Levels,Business Finance,294,Udemy,
Short Selling: Learn To Sell Stocks Before The Fall,Intermediate Level,Business Finance,2276,Udemy,
Basic Technical Analysis: Learn the structure of the market,Beginner Level,Business Finance,4919,Udemy,
The Complete Chart Pattern Trading Course: A Proven Approach,All Levels,Business Finance,2666,Udemy,
7 Deadly Mistakes of Investing that Will Slash Your Profits!,All Levels,Business Finance,5354,Udemy,
Financial Statements Made Easy,Beginner Level,Business Finance,8095,Udemy,
Winning Forex Trading with Live Forex Trading Examples,All Levels,Business Finance,809,Udemy,
Forex Traders - Create Your First Trading Robot. No Coding!,All Levels,Business Finance,2295,Udemy,
Create A Business From Home Trading Stocks Today In 2017,All Levels,Business Finance,10149,Udemy,
Introduction to Accounting : Mastering Financial Statements,Beginner Level,Business Finance,1916,Udemy,
The Complete Ethereum Course: Get .01 Ether In Your Wallet,All Levels,Business Finance,2507,Udemy,
Beginner to Pro in PowerPoint: Complete PowerPoint Training,All Levels,Business Finance,5786,Udemy,
Investing 101: The Complete Online Investing Course,All Levels,Business Finance,5334,Udemy,
Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,Intermediate Level,Business Finance,4005,Udemy,
Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),All Levels,Business Finance,2877,Udemy,
Forex Trading: Your Complete Guide to Get Started Like a Pro,Beginner Level,Business Finance,1026,Udemy,
Python Algo Stock Trading: Automate Your Trading!,Beginner Level,Business Finance,1165,Udemy,
THE Forex Robot: Incredible ROI (Robot Included),All Levels,Business Finance,1843,Udemy,
The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,All Levels,Business Finance,8797,Udemy,
Mastering High Probability Iron Condor Options Trading,All Levels,Business Finance,1030,Udemy,
The Complete Short Course on Ethereum,All Levels,Business Finance,1041,Udemy,
Options Trading Stocks: Proven Toolbox For Financial Success,Intermediate Level,Business Finance,7884,Udemy,
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,Beginner Level,Business Finance,16900,Udemy,
"Introduction to Finance, Accounting, Modeling and Valuation",All Levels,Business Finance,11441,Udemy,
Beginner to Pro in Excel: Financial Modeling and Valuation,All Levels,Business Finance,22257,Udemy,
The Complete Investment Banking Course 2017,All Levels,Business Finance,8575,Udemy,
